	Command	Key	Touch Bar
	Open General Settings…		
	Open Audio Settings…		
	Open Recording Settings…		
	Open MIDI Settings…		
	Open View Settings…		
	Open Score Settings…		
	Open Movie Settings…		
	Open Automation Settings…		
	Open Control Surfaces Settings…		
	Open My Info Settings…		
	Open Surround Settings…		
	Reset All Settings Except Key Command Assignments…		
	Plug-in Manager…		
	Open Chord Grid Library…		
	Open Event List…		
	Open Main Window…		
	Open Mixer…		
	Open Smart Controls…		
	Open Score Editor…		
	Open Step Sequencer…		
	Open Transform…	⌘9	
	Open Step Editor…		
	Open Piano Roll…		
	Open Transport Float…		
	Open Environment…	⌘0	
	Open Project Audio…		
	Note Repeat	⌃⌥↩	⇧7⃣
	Spot Erase		⇧8⃣
	Open Audio File Editor…		
	Open Smart Tempo Editor…		
	Open Audio Track Editor		
	Open Signature List…		
	Show/Hide Graphic Keyboard…		
	Show/Hide Musical Typing…	⌘K	
	Show/Hide Event Float	⌥E	⇧5⃣
	Show/Hide Event List		
	Show/Hide Main Window		
	Show/Hide Mixer	X	
	Show/Hide Smart Controls	B	
	Show/Hide Keyswitches		
	Show/Hide Keyswitches Window		
	Show/Hide Score Editor		
	Show/Hide Staff Style Window		
	Show/Hide Score Sets Window		
	Show/Hide Text Style Window		
	Show/Hide Step Sequencer		
	Show/Hide Transform		
	Show/Hide Step Editor		
	Show/Hide Piano Roll		
	Show/Hide Transport Float		
	Show/Hide Environment		
	Show/Hide Step Input Keyboard		
	Show/Hide Project Audio		
	Show/Hide Loop Browser	O	
	Show/Hide Library	Y	
	Search Patch		
	Show/Hide File Browser		
	Show/Hide Audio Track Editor		
	Show/Hide Audio File Editor		
	Show/Hide Marker List		
	Show/Hide Tempo List		
	Show/Hide Signature List		
	Show/Hide Quick Help	⇧/	
	Switch Quick Help Appearance between Bubbles and Inspector Pane/Float Window		
	Show Detailed Help	⌘/	
	Show/Hide Help Tags		
	Open in External Sample Editor		
	Show/Hide Performance Meter		
	Open Tempo List…		
	Open Tempo Operations…		
	Open Tempo Interpreter…		
	Open Key Command Assignments…	⌥K	
	Show/Hide Colors	⌥C	⇧1⃣
	Enter/Exit Full Screen	⌃⌘F	
	Show/Hide Tuner		⇧2⃣
	Toggle MIDI Remote for Articulation Switches		
	Open Movie…		
	Show/Hide Movie Window		
	Remove Movie		
	Import Audio from Movie		
	Export Audio to Movie…		
	Create Movie Scene Cut Markers (Auto Range)		
	Remove Movie Scene Cut Markers (Auto Range)		
	Mute Movie Audio On/Off		
	Solo Movie Audio On/Off		
	Set Movie Region Start to Playhead		
	Set Movie Region End to Playhead		
	Reset Movie Region		
	Move Movie Region (and SMPTE Position) to Project Start		
	Move Movie Region (and SMPTE Position) to Playhead		
	Move Movie Region to Playhead		
	Show Movie in Finder		
	Open Environment Mixer…		
	Toggle Level of Input Channel Strips		
	Toggle Level of Audio Channel Strips		
	Toggle Level of Auxiliary Channel Strips		
	Toggle Level of Bus Channel Strips		
	Toggle Level of Output Channel Strips	⌥D	
	Toggle Selected Tracks or Channel Strips Automation Off/Read		⌃3⃣
	Set Selected Tracks or Channel Strips to Automation Read		
	Toggle Selected Tracks or Channel Strips Automation Touch/Read		⌃2⃣
	Toggle Selected Tracks or Channel Strips Automation Latch/Read		
	Toggle Selected Tracks or Channel Strips Automation Write/Read		
	Toggle Selected Tracks or Channel Strips Automation Trim Mode		
	Toggle Selected Tracks or Channel Strips Automation Write Relative Mode		
	Toggle Selected Tracks or Channel Strips Record Region Automation Mode		
	Set All Tracks to Automation Off		
	Set All Tracks to Automation Read		
	Set All Tracks to Automation Touch		
	Set All Tracks to Automation Latch		
	Set All Tracks to Automation Write		
	Track Automation Event List…		
	Toggle Writing Volume Automation in Write Mode		
	Toggle Writing Pan Automation in Write Mode		
	Toggle Writing Mute Automation in Write Mode		
	Toggle Writing Send Levels Automation in Write Mode		
	Toggle Writing Plug-in parameters Automation in Write Mode		
	Toggle Writing Solo Automation in Write Mode		
	Toggle Automation Quick Access		
	Set Move Track Automation with Regions to Never		
	Set Move Track Automation with Regions to Always		
	Set Move Track Automation with Regions to Ask		
	Move Track Automation with Regions		
	Toggle Autoselect Automation Parameter in Read Mode		
	Enable/Disable Groups		⌃5⃣
	Open Group Settings…		
	Show/Hide Groups Window	⌥⇧G	⇧6⃣
	Create Group for Selected Channel Strips / Tracks		
	Delete Selected Groups		
	Delete Unused Groups		
	Select Members of Selected Groups		
	Add Selected Channel Strips to Selected Groups		
	Remove Selected Channel Strips from Selected Groups		
	Copy Group Settings		
	Paste Group Settings		
	Define Group Settings as Default		
	Select Members of Group 1		
	Select Members of Group 2		
	Select Members of Group 3		
	Select Members of Group 4		
	Select Members of Group 5		
	Select Members of Group 6		
	Select Members of Group 7		
	Select Members of Group 8		
	Select Members of Group 9		
	Select Members of Group 10		
	Select Members of Group 11		
	Select Members of Group 12		
	Select Members of Group 13		
	Select Members of Group 14		
	Select Members of Group 15		
	Select Members of Group 16		
	Select Members of Group 17		
	Select Members of Group 18		
	Select Members of Group 19		
	Select Members of Group 20		
	Select Members of Group 21		
	Select Members of Group 22		
	Select Members of Group 23		
	Select Members of Group 24		
	Select Members of Group 25		
	Select Members of Group 26		
	Select Members of Group 27		
	Select Members of Group 28		
	Select Members of Group 29		
	Select Members of Group 30		
	Select Members of Group 31		
	Select Members of Group 32		
	Select Members of Group 33		
	Select Members of Group 34		
	Select Members of Group 35		
	Select Members of Group 36		
	Select Members of Group 37		
	Select Members of Group 38		
	Select Members of Group 39		
	Select Members of Group 40		
	Select Members of Group 41		
	Select Members of Group 42		
	Select Members of Group 43		
	Select Members of Group 44		
	Select Members of Group 45		
	Select Members of Group 46		
	Select Members of Group 47		
	Select Members of Group 48		
	Select Members of Group 49		
	Select Members of Group 50		
	Select Members of Group 51		
	Select Members of Group 52		
	Select Members of Group 53		
	Select Members of Group 54		
	Select Members of Group 55		
	Select Members of Group 56		
	Select Members of Group 57		
	Select Members of Group 58		
	Select Members of Group 59		
	Select Members of Group 60		
	Select Members of Group 61		
	Select Members of Group 62		
	Select Members of Group 63		
	Select Members of Group 64		
	Toggle Hide Group 1		
	Toggle Hide Group 2		
	Toggle Hide Group 3		
	Toggle Hide Group 4		
	Toggle Hide Group 5		
	Toggle Hide Group 6		
	Toggle Hide Group 7		
	Toggle Hide Group 8		
	Toggle Hide Group 9		
	Toggle Hide Group 10		
	Toggle Hide Group 11		
	Toggle Hide Group 12		
	Toggle Hide Group 13		
	Toggle Hide Group 14		
	Toggle Hide Group 15		
	Toggle Hide Group 16		
	Toggle Hide Group 17		
	Toggle Hide Group 18		
	Toggle Hide Group 19		
	Toggle Hide Group 20		
	Toggle Hide Group 21		
	Toggle Hide Group 22		
	Toggle Hide Group 23		
	Toggle Hide Group 24		
	Toggle Hide Group 25		
	Toggle Hide Group 26		
	Toggle Hide Group 27		
	Toggle Hide Group 28		
	Toggle Hide Group 29		
	Toggle Hide Group 30		
	Toggle Hide Group 31		
	Toggle Hide Group 32		
	Toggle Hide Group 33		
	Toggle Hide Group 34		
	Toggle Hide Group 35		
	Toggle Hide Group 36		
	Toggle Hide Group 37		
	Toggle Hide Group 38		
	Toggle Hide Group 39		
	Toggle Hide Group 40		
	Toggle Hide Group 41		
	Toggle Hide Group 42		
	Toggle Hide Group 43		
	Toggle Hide Group 44		
	Toggle Hide Group 45		
	Toggle Hide Group 46		
	Toggle Hide Group 47		
	Toggle Hide Group 48		
	Toggle Hide Group 49		
	Toggle Hide Group 50		
	Toggle Hide Group 51		
	Toggle Hide Group 52		
	Toggle Hide Group 53		
	Toggle Hide Group 54		
	Toggle Hide Group 55		
	Toggle Hide Group 56		
	Toggle Hide Group 57		
	Toggle Hide Group 58		
	Toggle Hide Group 59		
	Toggle Hide Group 60		
	Toggle Hide Group 61		
	Toggle Hide Group 62		
	Toggle Hide Group 63		
	Toggle Hide Group 64		
	Refresh Freeze Files		
	Audio Hardware Setup		
	Apogee Control Panel		
	I/O Labels…		
	Mastering Assistant…		
	Toggle Varispeed		
	Toggle Allow Quick Punch-in		
	Toggle Auto Input Monitoring		
	Toggle Pre-Fader Metering		
	Clear Overload Flag in Audio Channel Display		
	Close Project without Saving		
	Close Window	⌘W	
	Cycle Through Windows	⌘`	
	Cycle Through Windows (counter-clockwise)	⇧⌘`	
	Redraw current window		
	Toggle Select Regions on Track Selection		
	Toggle Select Track on Region Selection		
	Select Previous Track	↑	
	Select Next Track	↓	
	Select Tracks and Set Default Region/Cell Parameters by Region/Cell/Folder		
	Select Tracks of Selected Regions/Cells/Folders		
	Set Default Region/Cell Parameters by Region/Cell/Folder		
	Select All Regions of Selected Tracks		
	Hide Logic Pro	⌘H	
	Hide Others	⌥⌘H	
	Quit	⌘Q	
	New Empty Project	⇧⌘N	
	New from Template…	⌘N	
	Open…	⌘O	
	Project Settings…	⌥P	
	Clean up Project…		
	Consolidate Project…		
	Rename Project…		
	Close Project	⌥⌘W	
	Save	⌘S	
	Save Project as…		
	Save A Copy As…		
	Save and Clean up Project		
	Save as Template…		
	Revert to Saved…		
	Page Setup…		
	Print	⌘P	
	Import…		
	Export Selection as MIDI File…	⌥⌘E	
	Export All MIDI Tracks as MIDI File…		
	Export Score as MusicXML…		
	Export Selection as Audio File…		
	Export Regions as Audio Files…		
	Export Tracks as Audio Files…	⌘E	
	Export All Tracks as Audio Files…	⇧⌘E	
	Export Project as AAF File…		
	Project to Final Cut Pro XML…		
	Plug-in Undo	⌥Z	
	Plug-in Redo	⌥⇧Z	
	Cycle Through Window Views	⇥	
	Cycle Through Window Views (counter-clockwise)	⇧⇥	
	Minimize Window	⌘M	
	Minimize All Windows	⌥⌘M	
	Zoom Window	⌃⌘M	
	Next Plug-in Setting		
	Previous Plug-in Setting		
	Next Sampler Instrument		
	Previous Sampler Instrument		
	Next Plug-in Setting or Sampler Instrument		
	Previous Plug-in Setting or Sampler Instrument		
	Next Channel Strip Setting of focused Track	⇧]	
	Previous Channel Strip Setting of focused Track	⇧[	
	Copy Channel Strip Setting	⌃C	
	Paste Channel Strip Setting	⌥⌘V	
	Paste Channel Strip Setting Plug-ins Only	⌃V	
	Paste Channel Strip Setting Sends Only		
	Reset Channel Strip Setting		
	Remove Empty Insert Slots	⌥⇧⌘⌫	
	Remove Bypassed Plug-ins	⌃⌥⇧⌫	
	Remove All Effect Plug-ins		
	Remove All Sends		
	Bypass All Effect Plug-ins		
	Save Channel Strip Setting as…		
	Save as Performance…	⌥S	
	Delete Channel Strip Setting		
	Next Patch, Plug-in Setting or Sampler Instrument	]	
	Previous Patch, Plug-in Setting or Sampler Instrument	[	
	Toggle Channel Strip Mute	M	
	Toggle Channel Strip Solo	S	
	Toggle Channel Strip Record Enable		
	Toggle Channel Strip Input Monitoring	⌃I	
	Toggle Channel Strip Format (mono/stereo)		
	Toggle Channel Strip Arpeggiator		
	Set Plug-in Latency Compensation Mode		
	Toggle Low Latency Monitoring Mode	⌘I	
	Toggle Software Monitoring		
	Show/Hide All Plug-in Windows	V	⇧4⃣
	Close All Plug-in Windows		
	Open/Close Instrument Plug-in Window of focused Track	D	
	Open/Close Audio Insert 1 Plug-in Window of focused Track	1	
	Open/Close Audio Insert 2 Plug-in Window of focused Track	2	
	Open/Close Audio Insert 3 Plug-in Window of focused Track	3	
	Open/Close Audio Insert 4 Plug-in Window of focused Track	4	
	Open/Close Audio Insert 5 Plug-in Window of focused Track	5	
	Open/Close Audio Insert 6 Plug-in Window of focused Track	6	
	Open/Close Audio Insert 7 Plug-in Window of focused Track	7	
	Open/Close Audio Insert 8 Plug-in Window of focused Track	8	
	Open/Close Audio Insert 9 Plug-in Window of focused Track	9	
	Open/Close Audio Insert 10 Plug-in Window of focused Track	0	
	Open/Close Audio Insert 11 Plug-in Window of focused Track		
	Open/Close Audio Insert 12 Plug-in Window of focused Track		
	Open/Close Audio Insert 13 Plug-in Window of focused Track		
	Open/Close Audio Insert 14 Plug-in Window of focused Track		
	Open/Close Audio Insert 15 Plug-in Window of focused Track		
	Open/Close MIDI Insert 1 Plug-in Window of focused Track	⇧1	
	Open/Close MIDI Insert 2 Plug-in Window of focused Track	⇧2	
	Open/Close MIDI Insert 3 Plug-in Window of focused Track	⇧3	
	Open/Close MIDI Insert 4 Plug-in Window of focused Track	⇧4	
	Open/Close MIDI Insert 5 Plug-in Window of focused Track	⇧5	
	Open/Close MIDI Insert 6 Plug-in Window of focused Track	⇧6	
	Open/Close MIDI Insert 7 Plug-in Window of focused Track		
	Open/Close MIDI Insert 8 Plug-in Window of focused Track		
	Open/Close MIDI Insert 9 Plug-in Window of focused Track		
	Open/Close MIDI Insert 10 Plug-in Window of focused Track		
	Open/Close MIDI Insert 11 Plug-in Window of focused Track		
	Open/Close MIDI Insert 12 Plug-in Window of focused Track		
	Open/Close MIDI Insert 13 Plug-in Window of focused Track		
	Open/Close MIDI Insert 14 Plug-in Window of focused Track		
	Open/Close MIDI Insert 15 Plug-in Window of focused Track		
	Project Information…		
	Toggle Use Musical Grid		
	Toggle Smart Tempo Mode (Keep/Adapt)		
	Set Smart Tempo Mode to Keep		
	Set Smart Tempo Mode to Adapt		
	Set Smart Tempo Mode to Automatic		
	Free Tempo Recording	⌃⌥⌘R	
	Set Nudge Value to Bar		
	Set Nudge Value to Beat		
	Set Nudge Value to Division		
	Set Nudge Value to 10 Ticks		
	Set Nudge Value to Tick		
	Set Nudge Value to Step Input		
	Set Nudge Value to 1/1 Note		
	Set Nudge Value to 1/2 Note		
	Set Nudge Value to 1/4 Note		
	Set Nudge Value to 1/8 Note		
	Set Nudge Value to 1/16 Note		
	Set Nudge Value to 1/32 Note		
	Set Nudge Value to 1/64 Note		
	Set Nudge Value to 1/2 Triplet (1/3)		
	Set Nudge Value to 1/4 Triplet (1/6)		
	Set Nudge Value to 1/8 Triplet (1/12)		
	Set Nudge Value to 1/16 Triplet (1/24)		
	Set Nudge Value to 1/32 Triplet (1/48)		
	Set Nudge Value to 1/64 Triplet (1/96)		
	Set Nudge Value to 5 SMPTE Frame		
	Set Nudge Value to SMPTE Frame		
	Set Nudge Value to 0.5 SMPTE Frame		
	Set Nudge Value to SMPTE Bit		
	Set Nudge Value to 10 ms		
	Set Nudge Value to 1 ms		
	Set Nudge Value to Sample		
	Sustain inserted notes	-	
	New Project Alternative…		
	Edit Project Alternatives		
	Export Alternative as Project…		
	Mixer Undo		
	Mixer Redo		
	Play Previous Scene		
	Play Next Scene		
	Stop All Cells	⌘↩	
	Toggle Activation of All Tracks		
	Live Loops: Keep Cells Squared When Zooming		
	Live Loops: Show Start Positions as Offset		
	Live Loops: Show Length as Position		

- Global Control Surfaces Commands
	Open Setup		
	Open Controller Assignments	⌥⇧K	
	Open Install		
	Scan All Models		
	Rebuild Defaults		
	Learn new Controller Assignment	⌘L	
	Toggle Bypass All Control Surfaces		

- Various Windows
	Undo	⌘Z	
	Redo	⇧⌘Z	
	Undo History…	⌥⌘Z	
	Delete Undo History		
	Cut	⌘X	
	Copy	⌘C	
	Paste	⌘V	
	Delete		
	Delete and Move		
	Select All	⌘A	
	Deselect All		
	Invert Selection	⇧I	
	Show Tool Menu	⌥T	
	Set Next Tool or Edit Mode		
	Set Previous Tool or Edit Mode		
	Set Pointer Tool		⌥1⃣
	Set Pencil Tool		⌥5⃣
	Set Eraser Tool		
	Set Scissors Tool		⌥3⃣
	Set Join Tool		⌥4⃣
	Set Finger Tool		⌥8⃣
	Set Text Tool		
	Set Zoom Tool		
	Set Solo Tool		
	Set Mute Tool		
	Set Quantize Tool		
	Set Velocity Tool		
	Set Automation Select Tool		
	Set Automation Curve Tool		
	Set Fade Tool		⌥6⃣
	Set Marquee Tool		⌥2⃣
	Set Flex Tool		
	Set Flex Pitch Vibrato Tool		
	Set Flex Pitch Velocity Tool		
	Set Brush Tool		⌥7⃣
	Set Layout Tool		
	Set Voice Separation Tool		
	Set Resize Tool		
	Set Camera Tool		
	Set Crosshair Tool		
	Set MIDI Thru Tool		
	Set Move Tool		
	Set Gain Tool		
	Set Slip Tool		
	Set Rotate Tool		
	Set Previously Set Tool	⌥⇧T	
	Zoom Horizontal Out	⌘←	
	Zoom Horizontal In	⌘→	
	Zoom Vertical Out	⌘↑	
	Zoom Vertical In	⌘↓	
	Recall Zoom 1	⌃⌥⌘1	
	Recall Zoom 2	⌃⌥⌘2	
	Recall Zoom 3	⌃⌥⌘3	
	Save as Zoom 1		
	Save as Zoom 2		
	Save as Zoom 3		
	Zoom to fit Selection vertically and horizontally, store Navigation Snapshot		
	Zoom to fit Selection horizontally, store Navigation Snapshot		
	Zoom to fit Selection vertically, store Navigation Snapshot		
	Zoom to fit Locators, store Navigation Snapshot	⌃⇧Z	
	Zoom to fit All Contents, store Navigation Snapshot		
	Toggle Zoom to fit Selection or All Contents		
	Store Navigation Snapshot	⇧Z	
	Navigation: Back	⌥Z	
	Navigation: Forward	⌥⇧Z	
	Toggle Horizontal Auto Zoom	⇧⌘→	
	Zoom to Horizontal Auto Zoom		
	Toggle Vertical Auto Zoom		
	Zoom to Vertical Auto Zoom		
	Toggle Zoom Focused Track or Row	⌃Z	
	Page Up	⇞	
	Page Down	⇟	
	Page Left	↖	
	Page Right	↘	
	1/3 Page Left		
	1/3 Page Right		
	1/8 Page Left		
	1/8 Page Right		
	Page Top		
	Page Bottom		
	Page Left-Most		
	Page Right-Most		
	Catch Playhead Position	`	
	Show/Hide Control Bar		
	Show/Hide Inspector	I	
	Collapse/Expand All Inspector Tiles		
	Show/Hide Local Inspector	⌥⇧I	
	Link View (Same Level) On/Off		
	Link View (Content) On/Off		
	Cycle Link View		
	Set Link View to Off		
	Set Link View to Same Level		
	Set Link View to Content		
	MIDI Out Toggle	⌥O	
	MIDI In Toggle (Step Record)	⌥I	
	•Increase Last Clicked Parameter by 1	=	
	•Decrease Last Clicked Parameter by 1	-	
	•Increase Last Clicked Parameter by 10	⇧=	
	•Decrease Last Clicked Parameter by 10	⇧-	
	Customize Control Bar and Display…		
	Apply Control Bar and Display Defaults		
	Save As Control Bar and Display Defaults		
	Preview	⌥˽	

- Windows Showing Audio Files
	Show Files in Finder	⇧⌘R	
	Toggle Snap Edits to Zero Crossings	⌃0	
	Add to Tracks…	⌘;	
	Remove Silence from Audio Region…	⌃X	
	Show/Hide Selection-Based Processing	⌥⇧P	⇧3⃣
	Apply Selection-Based Processing Again	⌃⌥P	

- Main Window Tracks and Various Editors
	Show/Hide Automation	A	⌃1⃣
	Show Track Automation		
	Show Region Automation		
	New Tracks…	⌥⌘N	
	New Audio Track	⌥⌘A	⌃6⃣
	New Software Instrument Track	⌥⌘S	⌃7⃣
	New Drummer Track	⌥⌘U	⌃8⃣
	New External MIDI Track	⌥⌘X	
	New Track with Duplicate Settings	⌘D	
	New Track with Duplicate Settings and Content	⇧⌘D	
	New Track with Next Channel / MIDI Channel	⌃↩	
	New Track with Same Channel Strip/Instrument	⌃⇧↩	
	Append Track to Track List		
	Delete Track		
	Delete unused Tracks		
	Import Audio File…	⇧⌘I	
	Create MIDI Region/Cell	Z	
	Create Pattern Region/Cell		
	Create Drummer Region/Cell		
	Populate Track with Drummer Regions		
	Go Into Folder or Region		
	Go Out of Folder or Region		
	Select All Following	⇧F	
	Select All Following of Same Track/Pitch	⌃⇧F	
	Select All Regions/Cells of Same Track		
	Select All Inside Locators	⇧L	
	Deselect Outside Locators		
	Deselect Global Tracks		
	Select Empty Regions/Cells		
	Select SMPTE Locked Regions		
	Select Overlapped Regions/Events	⇧O	
	Select Equal Regions/Events	⇧E	
	Select Similar Regions/Events		
	Select Same Subpositions	⇧P	
	Select Muted Regions/Cells/Events		
	Select Same-Colored Regions/Cells/Events	⇧C	
	Select First, or Shift Marquee Selection Left	⇧↖	
	Select Last, or Shift Marquee Selection Right	⇧↘	
	Select Previous Region/Cell/Event or Move Marquee End (or Marquee Point) to Previous Transient		
	Select Next Region/Cell/Event or Move Marquee End (or Marquee Point) to Next Transient		
	Toggle Previous Region/Cell/Event or Move Marquee Start (or Extend Marquee Selection) to Previous Transient		
	Toggle Next Region/Cell/Event or Move Marquee Start (or Extend Marquee Selection) to Next Transient		
	Select Previous Region/Cell/Event of Same Type/Number		
	Select Next Region/Cell/Event of Same Type/Number		
	Set Marquee to Selection		
	Scroll to Selection	⇧`	
	Loop Regions/Cells/Folders On/Off	L	
	Flex/Follow Tempo On/Off	⌃F	
	Reverse On/Off	⇧G	
	Region Gain +1 dB	⇧⌘↑	
	Region Gain -1 dB	⇧⌘↓	
	Region Gain +0.1 dB	⌘↑	
	Region Gain -0.1 dB	⌘↓	
	Quantize Selected Regions/Cells/Events		⌘6⃣
	Set Quantize Parameter to Next Value	⇧⌘=	
	Set Quantize Parameter to Previous Value	⇧⌘-	
	Dequantize	⌥⌘Q	
	Quantize Off		
	Quantize 1/1 Note		
	Quantize 1/2 Note		
	Quantize 1/4 Note		
	Quantize 1/8 Note	⇧W	
	Quantize 1/16 Note	⇧Q	
	Quantize 1/32 Note		
	Quantize 1/64 Note		
	Quantize 1/2 Triplet (1/3)		
	Quantize 1/4 Triplet (1/6)		
	Quantize 1/8 Triplet (1/12)		
	Quantize 1/16 Triplet (1/24)		
	Quantize 1/32 Triplet (1/48)		
	Quantize 1/64 Triplet (1/96)		
	Quantize 1/128 Triplet (1/192)		
	Quantize 1/16 Swing A		
	Quantize 1/16 Swing B		
	Quantize 1/16 Swing C		
